,mda_round,beta,cr_factor,mda_coverage,strategy,b_drug
201,0,0.0538,1,0.7,AAB,KAFLUM
202,0,0.0538,1,0.7,ABA,KAFLUM
203,0,0.0538,1,0.7,ABB,KAFLUM
204,0,0.0538,1,0.8,AAB,DHAPPQ
205,0,0.0538,1,0.8,ABA,DHAPPQ
206,0,0.0538,1,0.8,ABB,DHAPPQ
207,0,0.0538,1,0.8,AAB,KAFLUM
208,0,0.0538,1,0.8,ABA,KAFLUM
209,0,0.0538,1,0.8,ABB,KAFLUM
210,0,0.0538,1,0.9,AAB,DHAPPQ
211,0,0.0538,1,0.9,ABA,DHAPPQ
212,0,0.0538,1,0.9,ABB,DHAPPQ
213,0,0.0538,1,0.9,AAB,KAFLUM
214,0,0.0538,1,0.9,ABA,KAFLUM
215,0,0.0538,1,0.9,ABB,KAFLUM
216,0,0.0538,2,0.6,AAB,DHAPPQ
217,0,0.0538,2,0.6,ABA,DHAPPQ
218,0,0.0538,2,0.6,ABB,DHAPPQ
219,0,0.0538,2,0.6,AAB,KAFLUM
220,0,0.0538,2,0.6,ABA,KAFLUM
221,0,0.0538,2,0.6,ABB,KAFLUM
222,0,0.0538,2,0.7,AAB,DHAPPQ
223,0,0.0538,2,0.7,ABA,DHAPPQ
224,0,0.0538,2,0.7,ABB,DHAPPQ
225,0,0.0538,2,0.7,AAB,KAFLUM
226,0,0.0538,2,0.7,ABA,KAFLUM
227,0,0.0538,2,0.7,ABB,KAFLUM
228,0,0.0538,2,0.8,AAB,DHAPPQ
229,0,0.0538,2,0.8,ABA,DHAPPQ
230,0,0.0538,2,0.8,ABB,DHAPPQ
231,0,0.0538,2,0.8,AAB,KAFLUM
232,0,0.0538,2,0.8,ABA,KAFLUM
233,0,0.0538,2,0.8,ABB,KAFLUM
234,0,0.0538,2,0.9,AAB,DHAPPQ
235,0,0.0538,2,0.9,ABA,DHAPPQ
236,0,0.0538,2,0.9,ABB,DHAPPQ
237,0,0.0538,2,0.9,AAB,KAFLUM
238,0,0.0538,2,0.9,ABA,KAFLUM
239,0,0.0538,2,0.9,ABB,KAFLUM
240,0,0.0538,5,0.6,AAB,DHAPPQ
241,0,0.0538,5,0.6,ABA,DHAPPQ
242,0,0.0538,5,0.6,ABB,DHAPPQ
243,0,0.0538,5,0.6,AAB,KAFLUM
244,0,0.0538,5,0.6,ABA,KAFLUM
245,0,0.0538,5,0.6,ABB,KAFLUM
246,0,0.0538,5,0.7,AAB,DHAPPQ
247,0,0.0538,5,0.7,ABA,DHAPPQ
248,0,0.0538,5,0.7,ABB,DHAPPQ
249,0,0.0538,5,0.7,AAB,KAFLUM
250,0,0.0538,5,0.7,ABA,KAFLUM
251,0,0.0538,5,0.7,ABB,KAFLUM
252,0,0.0538,5,0.8,AAB,DHAPPQ
253,0,0.0538,5,0.8,ABA,DHAPPQ
254,0,0.0538,5,0.8,ABB,DHAPPQ
255,0,0.0538,5,0.8,AAB,KAFLUM
256,0,0.0538,5,0.8,ABA,KAFLUM
257,0,0.0538,5,0.8,ABB,KAFLUM
258,0,0.0538,5,0.9,AAB,DHAPPQ
259,0,0.0538,5,0.9,ABA,DHAPPQ
260,0,0.0538,5,0.9,ABB,DHAPPQ
261,0,0.0538,5,0.9,AAB,KAFLUM
262,0,0.0538,5,0.9,ABA,KAFLUM
263,0,0.0538,5,0.9,ABB,KAFLUM
264,0,0.0538,10,0.6,AAB,DHAPPQ
265,0,0.0538,10,0.6,ABA,DHAPPQ
266,0,0.0538,10,0.6,ABB,DHAPPQ
267,0,0.0538,10,0.6,AAB,KAFLUM
268,0,0.0538,10,0.6,ABA,KAFLUM
269,0,0.0538,10,0.6,ABB,KAFLUM
270,0,0.0538,10,0.7,AAB,DHAPPQ
271,0,0.0538,10,0.7,ABA,DHAPPQ
272,0,0.0538,10,0.7,ABB,DHAPPQ
273,0,0.0538,10,0.7,AAB,KAFLUM
274,0,0.0538,10,0.7,ABA,KAFLUM
275,0,0.0538,10,0.7,ABB,KAFLUM
276,0,0.0538,10,0.8,AAB,DHAPPQ
277,0,0.0538,10,0.8,ABA,DHAPPQ
278,0,0.0538,10,0.8,ABB,DHAPPQ
279,0,0.0538,10,0.8,AAB,KAFLUM
280,0,0.0538,10,0.8,ABA,KAFLUM
281,0,0.0538,10,0.8,ABB,KAFLUM
282,0,0.0538,10,0.9,AAB,DHAPPQ
283,0,0.0538,10,0.9,ABA,DHAPPQ
284,0,0.0538,10,0.9,ABB,DHAPPQ
285,0,0.0538,10,0.9,AAB,KAFLUM
286,0,0.0538,10,0.9,ABA,KAFLUM
287,0,0.0538,10,0.9,ABB,KAFLUM
288,0,0.0508,1,0.6,AAB,DHAPPQ
289,0,0.0508,1,0.6,ABA,DHAPPQ
290,0,0.0508,1,0.6,ABB,DHAPPQ
291,0,0.0508,1,0.6,AAB,KAFLUM
292,0,0.0508,1,0.6,ABA,KAFLUM
293,0,0.0508,1,0.6,ABB,KAFLUM
294,0,0.0508,1,0.7,AAB,DHAPPQ
295,0,0.0508,1,0.7,ABA,DHAPPQ
296,0,0.0508,1,0.7,ABB,DHAPPQ
297,0,0.0508,1,0.7,AAB,KAFLUM
298,0,0.0508,1,0.7,ABA,KAFLUM
299,0,0.0508,1,0.7,ABB,KAFLUM
300,0,0.0508,1,0.8,AAB,DHAPPQ
